MES_COHORT,MES_ATIVIDADE,MESES_DESDE_COHORT,QTD_CLIENTES_ATIVOS
2025-11-01,2025-11-01,0.0,109853.0
2025-05-01,2026-03-01,10.0,16832.0
2025-05-01,2025-10-01,5.0,17159.0
2025-04-01,2025-09-01,5.0,17149.0
2025-02-01,2025-09-01,7.0,15774.0
2025-03-01,2026-01-01,10.0,16808.0
2025-01-01,2025-05-01,4.0,19502.0
2025-04-01,2025-07-01,3.0,18445.0
2025-02-01,2026-04-01,14.0,15507.0
2025-02-01,2026-03-01,13.0,16169.0
2025-09-01,2025-11-01,2.0,18560.0
2025-07-01,2026-05-01,10.0,2619.0
2025-08-01,2025-10-01,2.0,19090.0
2025-06-01,2026-04-01,10.0,15766.0
2025-01-01,2025-02-01,1.0,21841.0
2025-04-01,2025-04-01,0.0,109781.0
2025-04-01,2025-06-01,2.0,19055.0
2025-06-01,2025-10-01,4.0,17431.0
2025-05-01,2025-08-01,3.0,18611.0
2025-07-01,2025-10-01,3.0,18002.0
2025-04-01,2026-05-01,13.0,2652.0
2025-03-01,2026-02-01,11.0,16270.0
2025-09-01,2026-05-01,8.0,2506.0
2026-03-01,2026-05-01,2.0,2731.0
2025-05-01,2025-05-01,0.0,113528.0
2025-02-01,2025-06-01,4.0,16375.0
2025-12-01,2025-12-01,0.0,126025.0
2026-03-01,2026-04-01,1.0,19370.0
2025-03-01,2026-05-01,14.0,2820.0
2025-09-01,2025-10-01,1.0,20056.0
2025-02-01,2025-03-01,1.0,20176.0
2025-05-01,2025-06-01,1.0,21147.0
2025-07-01,2025-11-01,4.0,17993.0
2025-02-01,2026-01-01,11.0,15655.0
2025-08-01,2026-02-01,6.0,15723.0
2025-12-01,2026-04-01,4.0,16504.0
2025-07-01,2026-04-01,9.0,16058.0
2026-05-01,2026-05-01,0.0,11325.0
2025-06-01,2025-08-01,2.0,19288.0
2025-01-01,2026-05-01,16.0,3031.0
2026-02-01,2026-05-01,3.0,2234.0
2025-05-01,2025-12-01,7.0,17585.0
2025-01-01,2025-04-01,3.0,19189.0
2025-03-01,2025-09-01,6.0,17585.0
2025-01-01,2025-12-01,11.0,20252.0
2026-02-01,2026-03-01,1.0,17668.0
2025-11-01,2026-04-01,5.0,16100.0
2026-04-01,2026-05-01,1.0,2811.0
