MES_REFERENCIA,CANAL,QTD_CLIENTES_UNICOS,QTD_COMPRAS,RECEITA_MEDIA_POR_CLIENTE,FREQUENCIA_MEDIA,TICKET_MEDIO
2025-01-01,APP,54127.0,78274.0,165.07,1.45,114.15
2025-01-01,LOJA FÍSICA,3864003.0,2131460.0,174.46,0.55,316.28
2025-01-01,OUTROS,71200.0,89199.0,123.13,1.25,98.29
2025-01-01,SITE,42691.0,52618.0,155.9,1.23,126.49
2025-01-01,TELEVENDAS,62592.0,88582.0,221.55,1.42,156.54
2025-02-01,APP,51217.0,74560.0,162.79,1.46,111.82
2025-02-01,LOJA FÍSICA,3680122.0,2101781.0,169.24,0.57,296.33
2025-02-01,OUTROS,72485.0,91699.0,121.6,1.27,96.12
2025-02-01,SITE,36929.0,45071.0,159.46,1.22,130.66
2025-02-01,TELEVENDAS,61228.0,85574.0,221.61,1.4,158.56
2025-03-01,APP,62931.0,96371.0,185.91,1.53,121.4
2025-03-01,LOJA FÍSICA,3950321.0,2171730.0,180.38,0.55,328.1
2025-03-01,OUTROS,78693.0,101271.0,122.86,1.29,95.47
2025-03-01,SITE,44162.0,54409.0,166.37,1.23,135.03
2025-03-01,TELEVENDAS,68008.0,97356.0,231.63,1.43,161.8
2025-04-01,APP,65211.0,98461.0,182.93,1.51,121.15
2025-04-01,LOJA FÍSICA,3896257.0,2190950.0,174.44,0.56,310.22
2025-04-01,OUTROS,81457.0,104484.0,123.48,1.28,96.27
2025-04-01,SITE,40675.0,49696.0,171.27,1.22,140.18
2025-04-01,TELEVENDAS,64102.0,90881.0,214.05,1.42,150.98
2025-05-01,APP,65750.0,96811.0,203.82,1.47,138.43
2025-05-01,LOJA FÍSICA,4059604.0,2236294.0,184.41,0.55,334.76
2025-05-01,OUTROS,81642.0,104045.0,123.63,1.27,97.01
2025-05-01,SITE,45877.0,55709.0,195.15,1.21,160.71
2025-05-01,TELEVENDAS,70443.0,100663.0,220.46,1.43,154.28
2025-06-01,APP,77940.0,117014.0,224.68,1.5,149.65
2025-06-01,LOJA FÍSICA,3960811.0,2219205.0,180.82,0.56,322.72
2025-06-01,OUTROS,86307.0,108730.0,118.53,1.26,94.09
2025-06-01,SITE,52238.0,63768.0,207.98,1.22,170.38
2025-06-01,TELEVENDAS,72873.0,102333.0,215.44,1.4,153.42
2025-07-01,APP,75607.0,114747.0,218.24,1.52,143.8
2025-07-01,LOJA FÍSICA,4068666.0,2237572.0,182.34,0.55,331.55
2025-07-01,OUTROS,85334.0,107313.0,120.5,1.26,95.82
2025-07-01,SITE,49387.0,60296.0,197.64,1.22,161.88
2025-07-01,TELEVENDAS,73859.0,104510.0,216.33,1.41,152.88
2025-08-01,APP,75857.0,114889.0,223.4,1.51,147.5
2025-08-01,LOJA FÍSICA,4072282.0,2223333.0,179.6,0.55,328.95
2025-08-01,OUTROS,81758.0,102623.0,119.61,1.26,95.29
2025-08-01,SITE,48342.0,59005.0,216.79,1.22,177.62
2025-08-01,TELEVENDAS,71885.0,101651.0,222.27,1.41,157.18
2025-09-01,APP,77035.0,115306.0,231.12,1.5,154.41
2025-09-01,LOJA FÍSICA,4054583.0,2219234.0,178.23,0.55,325.63
2025-09-01,OUTROS,89910.0,114204.0,115.88,1.27,91.23
2025-09-01,SITE,50635.0,61977.0,222.83,1.22,182.05
2025-09-01,TELEVENDAS,68443.0,95261.0,228.6,1.39,164.24
2025-10-01,APP,81349.0,116403.0,244.87,1.43,171.13
2025-10-01,LOJA FÍSICA,4120048.0,2261781.0,184.55,0.55,336.17
2025-10-01,OUTROS,97186.0,125795.0,120.1,1.29,92.78
2025-10-01,SITE,51857.0,63006.0,240.49,1.21,197.93
2025-10-01,TELEVENDAS,65412.0,92850.0,236.02,1.42,166.27
2025-11-01,APP,102210.0,151536.0,262.08,1.48,176.77
2025-11-01,LOJA FÍSICA,4182627.0,2285248.0,187.36,0.55,342.92
2025-11-01,OUTROS,95766.0,122596.0,121.2,1.28,94.68
2025-11-01,SITE,56921.0,70000.0,230.72,1.23,187.61
2025-11-01,TELEVENDAS,66023.0,93267.0,233.7,1.41,165.44
2025-12-01,APP,89146.0,126538.0,262.08,1.42,184.64
2025-12-01,LOJA FÍSICA,4396906.0,2336605.0,190.47,0.53,358.42
2025-12-01,OUTROS,100142.0,128272.0,117.7,1.28,91.89
2025-12-01,SITE,48785.0,57950.0,256.79,1.19,216.18
2025-12-01,TELEVENDAS,65539.0,92605.0,229.51,1.41,162.43
2026-01-01,APP,95568.0,137386.0,236.37,1.44,164.42
2026-01-01,LOJA FÍSICA,4157763.0,2333404.0,185.72,0.56,330.92
2026-01-01,OUTROS,103936.0,131648.0,115.05,1.27,90.84
2026-01-01,SITE,58945.0,70674.0,233.25,1.2,194.54
2026-01-01,TELEVENDAS,61939.0,86421.0,220.36,1.4,157.93
