MES_REFERENCIA,QTD_CLIENTES_NOVOS,NOVOS_CLIENTES_YTD
2025-01-01,123485.0,123485.0
2025-02-01,101582.0,225067.0
2025-03-01,113304.0,338371.0
2025-04-01,109781.0,448152.0
2025-05-01,113528.0,561680.0
2025-06-01,112770.0,674450.0
2025-07-01,116036.0,790486.0
2025-08-01,109780.0,900266.0
2025-09-01,106839.0,1007105.0
2025-10-01,105576.0,1112681.0
2025-11-01,109853.0,1222534.0
2025-12-01,126025.0,1348559.0
2026-01-01,111700.0,111700.0
2026-02-01,94845.0,206545.0
2026-03-01,105736.0,312281.0
2026-04-01,100436.0,412717.0
2026-05-01,16561.0,429278.0
