MES_REFERENCIA,CANAL,QTD_NOVOS_CLIENTES
2025-01-01,APP,1135.0
2025-01-01,LOJA FÍSICA,111522.0
2025-01-01,OUTROS,6825.0
2025-01-01,SITE,2839.0
2025-01-01,TELEVENDAS,1331.0
2025-02-01,APP,939.0
2025-02-01,LOJA FÍSICA,90955.0
2025-02-01,OUTROS,5987.0
2025-02-01,SITE,2614.0
2025-02-01,TELEVENDAS,1229.0
2025-03-01,APP,1248.0
2025-03-01,LOJA FÍSICA,101338.0
2025-03-01,OUTROS,6241.0
2025-03-01,SITE,3325.0
2025-03-01,TELEVENDAS,1331.0
2025-04-01,APP,1328.0
2025-04-01,LOJA FÍSICA,97804.0
2025-04-01,OUTROS,6504.0
2025-04-01,SITE,3041.0
2025-04-01,TELEVENDAS,1256.0
2025-05-01,APP,1378.0
2025-05-01,LOJA FÍSICA,101608.0
2025-05-01,OUTROS,6001.0
2025-05-01,SITE,3316.0
2025-05-01,TELEVENDAS,1406.0
2025-06-01,APP,1629.0
2025-06-01,LOJA FÍSICA,99683.0
2025-06-01,OUTROS,6437.0
2025-06-01,SITE,3707.0
2025-06-01,TELEVENDAS,1503.0
2025-07-01,APP,1333.0
2025-07-01,LOJA FÍSICA,102695.0
2025-07-01,OUTROS,6905.0
2025-07-01,SITE,3701.0
2025-07-01,TELEVENDAS,1588.0
2025-08-01,APP,1206.0
2025-08-01,LOJA FÍSICA,98087.0
2025-08-01,OUTROS,5981.0
2025-08-01,SITE,3287.0
2025-08-01,TELEVENDAS,1402.0
2025-09-01,APP,1061.0
2025-09-01,LOJA FÍSICA,95103.0
2025-09-01,OUTROS,6633.0
2025-09-01,SITE,2942.0
2025-09-01,TELEVENDAS,1264.0
2025-10-01,APP,1188.0
2025-10-01,LOJA FÍSICA,93088.0
2025-10-01,OUTROS,7592.0
2025-10-01,SITE,2675.0
2025-10-01,TELEVENDAS,1214.0
2025-11-01,APP,1726.0
2025-11-01,LOJA FÍSICA,97147.0
2025-11-01,OUTROS,7216.0
2025-11-01,SITE,2769.0
2025-11-01,TELEVENDAS,1227.0
2025-12-01,APP,1532.0
2025-12-01,LOJA FÍSICA,111787.0
2025-12-01,OUTROS,8868.0
2025-12-01,SITE,2717.0
2025-12-01,TELEVENDAS,1327.0
2026-01-01,APP,1677.0
2026-01-01,LOJA FÍSICA,96408.0
2026-01-01,OUTROS,9000.0
2026-01-01,SITE,3654.0
2026-01-01,TELEVENDAS,1194.0
2026-02-01,APP,1459.0
2026-02-01,LOJA FÍSICA,81655.0
2026-02-01,OUTROS,7868.0
2026-02-01,SITE,2941.0
2026-02-01,TELEVENDAS,1124.0
2026-03-01,APP,1752.0
2026-03-01,LOJA FÍSICA,90178.0
2026-03-01,OUTROS,10485.0
2026-03-01,SITE,2286.0
2026-03-01,TELEVENDAS,1216.0
2026-04-01,APP,1711.0
2026-04-01,LOJA FÍSICA,84769.0
2026-04-01,OUTROS,10702.0
2026-04-01,SITE,2264.0
2026-04-01,TELEVENDAS,1146.0
2026-05-01,APP,276.0
2026-05-01,LOJA FÍSICA,11974.0
2026-05-01,OUTROS,1967.0
2026-05-01,SITE,373.0
2026-05-01,TELEVENDAS,177.0
