DATA_VENDA,ANO,MES,DIA,CANAL,QTD_VENDAS,QTD_CLIENTES,RECEITA_TOTAL
2025-02-05,2025.0,2.0,5.0,LOJA FÍSICA,308256.0,246972.0,24238536.5
2025-01-12,2025.0,1.0,12.0,LOJA FÍSICA,241372.0,180332.0,15245268.3
2025-05-23,2025.0,5.0,23.0,LOJA FÍSICA,323188.0,266432.0,24549479.56
2025-06-23,2025.0,6.0,23.0,LOJA FÍSICA,295884.0,248181.0,22961708.459999997
2025-08-26,2025.0,8.0,26.0,LOJA FÍSICA,294020.0,251540.0,23079814.89
2025-03-09,2025.0,3.0,9.0,LOJA FÍSICA,247508.0,193041.0,17091933.930000003
2025-03-26,2025.0,3.0,26.0,LOJA FÍSICA,301286.0,243516.0,23059164.93
2025-07-06,2025.0,7.0,6.0,LOJA FÍSICA,277109.0,224312.0,19509526.27
2025-02-16,2025.0,2.0,16.0,LOJA FÍSICA,234716.0,178452.0,15283220.260000002
2026-02-27,2026.0,2.0,27.0,LOJA FÍSICA,360041.0,296139.0,29197899.150000002
2025-07-30,2025.0,7.0,30.0,LOJA FÍSICA,307497.0,255058.0,24293113.54
2025-03-31,2025.0,3.0,31.0,LOJA FÍSICA,306552.0,251000.0,30183586.229999997
2025-07-04,2025.0,7.0,4.0,LOJA FÍSICA,373346.0,315933.0,31809189.799999997
2026-02-19,2026.0,2.0,19.0,LOJA FÍSICA,317028.0,258512.0,24338851.7
2025-10-26,2025.0,10.0,26.0,LOJA FÍSICA,244964.0,195376.0,16215306.74
2025-11-08,2025.0,11.0,8.0,LOJA FÍSICA,382419.0,326941.0,31764874.630000003
2025-09-03,2025.0,9.0,3.0,APP,4185.0,4016.0,716939.7999999999
2025-06-09,2025.0,6.0,9.0,LOJA FÍSICA,339408.0,285107.0,27331123.490000002
2025-03-04,2025.0,3.0,4.0,LOJA FÍSICA,254287.0,198688.0,17316454.32
2025-01-05,2025.0,1.0,5.0,LOJA FÍSICA,242756.0,185787.0,15877690.83
2025-09-06,2025.0,9.0,6.0,LOJA FÍSICA,369027.0,316966.0,28974000.02
2026-03-22,2026.0,3.0,22.0,LOJA FÍSICA,263048.0,205695.0,17600983.05
2025-02-02,2025.0,2.0,2.0,LOJA FÍSICA,230174.0,174788.0,15030889.219999999
2026-03-25,2026.0,3.0,25.0,OUTROS,4713.0,4642.0,385178.5
2025-10-30,2025.0,10.0,30.0,LOJA FÍSICA,306014.0,258244.0,24051410.23
2025-08-05,2025.0,8.0,5.0,LOJA FÍSICA,324797.0,279711.0,26917366.57
2025-01-11,2025.0,1.0,11.0,LOJA FÍSICA,319740.0,251550.0,22425395.220000003
2025-10-22,2025.0,10.0,22.0,LOJA FÍSICA,323850.0,271592.0,25026032.169999998
2025-11-14,2025.0,11.0,14.0,LOJA FÍSICA,357838.0,298101.0,28627161.43
2026-02-11,2026.0,2.0,11.0,LOJA FÍSICA,334891.0,273993.0,27234097.08
2025-11-28,2025.0,11.0,28.0,LOJA FÍSICA,406339.0,346357.0,36397368.96
2025-09-28,2025.0,9.0,28.0,LOJA FÍSICA,249225.0,201456.0,16555365.91
2025-12-22,2025.0,12.0,22.0,LOJA FÍSICA,381034.0,315049.0,31640321.32
2025-04-30,2025.0,4.0,30.0,LOJA FÍSICA,345700.0,283656.0,27691758.6
2026-01-24,2026.0,1.0,24.0,LOJA FÍSICA,318441.0,254722.0,22894545.21
2025-12-10,2025.0,12.0,10.0,LOJA FÍSICA,314611.0,261911.0,26479573.58
2025-06-20,2025.0,6.0,20.0,TELEVENDAS,4340.0,4136.0,808626.99
2025-11-30,2025.0,11.0,30.0,LOJA FÍSICA,278503.0,224962.0,19871523.59
2025-12-17,2025.0,12.0,17.0,LOJA FÍSICA,338492.0,279308.0,27398639.299999997
2026-04-02,2026.0,4.0,2.0,LOJA FÍSICA,387240.0,321684.0,31200582.970000003
2025-10-16,2025.0,10.0,16.0,LOJA FÍSICA,301825.0,252606.0,24033958.709999997
2026-04-21,2026.0,4.0,21.0,LOJA FÍSICA,259940.0,207980.0,18378583.16
2025-07-11,2025.0,7.0,11.0,TELEVENDAS,4237.0,4043.0,698706.46
2026-01-01,2026.0,1.0,1.0,SITE,942.0,924.0,152164.61
2026-01-22,2026.0,1.0,22.0,OUTROS,4247.0,4183.0,349508.74
2025-01-17,2025.0,1.0,17.0,OUTROS,2767.0,2722.0,238322.53
2025-01-25,2025.0,1.0,25.0,APP,2609.0,2462.0,290217.61
